,screen_name,id,followers,friends,number_tweets,number_tweets_intervals,mean_interval_tweets,variance_interval_tweets,standard_deviation_interval_tweets,number_tweets_week,monday_relative_frequence,tuesday_relative_frequence,wednesday_relative_frequence,thursday_relative_frequence,friday_relative_frequence,saturday_relative_frequence,sunday_relative_frequence,mean_day_week,variance_day_week,standard_deviation_day_week,number_hashtags,hashtag_per_tweet,profile_image_url,profile_image_url_https
324,AllanAguiar9,884885159446806528,1392,1343,200,162,28.50,2740.61,52.35,200,0.01,0.06,0.09,0.18,0.225,0.13,0.305,28.57,353.67,18.81,53,1.04,http://pbs.twimg.com/profile_images/1008194702888316930/zv5OOmVs_normal.jpg,https://pbs.twimg.com/profile_images/1008194702888316930/zv5OOmVs_normal.jpg
325,RIHNAVY77,889907377595711490,4476,4909,200,173,3884.85,30131088.53,5489.18,200,0.105,0.09,0.145,0.195,0.185,0.135,0.145,28.57,50.24,7.09,27,1.23,http://pbs.twimg.com/profile_images/1008142690658156546/UroXXMAI_normal.jpg,https://pbs.twimg.com/profile_images/1008142690658156546/UroXXMAI_normal.jpg
326,RapazMisterioso,990627485476892672,2214,5001,200,162,80.67,7857.12,88.64,200,0.0,0.0,0.0,0.0,0.205,0.51,0.285,28.57,1374.24,37.07,97,1.02,http://pbs.twimg.com/profile_images/990695757752696833/7ZLKgAJ9_normal.jpg,https://pbs.twimg.com/profile_images/990695757752696833/7ZLKgAJ9_normal.jpg
327,JHOTAGALO,710986279463329793,10047,10037,200,159,1223.43,6820008.74,2611.51,200,0.19,0.11,0.08,0.15,0.18,0.12,0.17,28.57,56.82,7.54,56,1.06,http://pbs.twimg.com/profile_images/844702628479164416/bM4O7fXE_normal.jpg,https://pbs.twimg.com/profile_images/844702628479164416/bM4O7fXE_normal.jpg
328,eufelipelacerda,3302179551,2185,2173,200,179,24853.68,1071908725.60,32740.02,200,0.1,0.12,0.135,0.1,0.19,0.17,0.185,28.57,51.39,7.17,17,1.00,http://pbs.twimg.com/profile_images/999773416457617408/On4eoIAw_normal.jpg,https://pbs.twimg.com/profile_images/999773416457617408/On4eoIAw_normal.jpg
329,fuleragezinha,3423458050,9392,9249,200,159,8.89,74.17,8.61,200,0.0,0.0,0.0,0.125,0.295,0.165,0.415,28.57,909.96,30.17,57,1.12,http://pbs.twimg.com/profile_images/1003042156616052737/jqooIqJ-_normal.jpg,https://pbs.twimg.com/profile_images/1003042156616052737/jqooIqJ-_normal.jpg
330,vianacruzgalo,739028460606238720,4478,4960,200,161,523.17,662895.73,814.18,200,0.075,0.07,0.07,0.055,0.125,0.16,0.445,28.57,656.24,25.62,18,1.29,http://pbs.twimg.com/profile_images/1008317890603438080/fvws45Uw_normal.jpg,https://pbs.twimg.com/profile_images/1008317890603438080/fvws45Uw_normal.jpg
331,whyoque,915924059694751744,3786,2813,200,165,4.18,5.69,2.38,200,0.0,0.0,0.0,0.0,0.0,0.645,0.355,28.57,2281.10,47.76,23,1.44,http://pbs.twimg.com/profile_images/993200607967219712/WqWnzcxQ_normal.jpg,https://pbs.twimg.com/profile_images/993200607967219712/WqWnzcxQ_normal.jpg
332,vinimarinho_o,2507108073,879,1505,200,184,15583.26,527462585.05,22966.55,200,0.19,0.125,0.105,0.085,0.055,0.16,0.28,28.57,195.10,13.97,2,1.00,http://pbs.twimg.com/profile_images/991052559497531395/dm62quOA_normal.jpg,https://pbs.twimg.com/profile_images/991052559497531395/dm62quOA_normal.jpg
333,luuhlimns,983078165395492864,3056,2777,200,165,72.90,7411.81,86.09,200,0.295,0.0,0.0,0.27,0.395,0.03,0.01,28.57,994.82,31.54,38,1.00,http://pbs.twimg.com/profile_images/1004827590119567360/R-o5KAau_normal.jpg,https://pbs.twimg.com/profile_images/1004827590119567360/R-o5KAau_normal.jpg
334,Thiago_Beckman,420317177,2487,3049,200,163,216.20,120897.81,347.70,200,0.6,0.0,0.0,0.07,0.19,0.02,0.12,28.57,1559.67,39.49,107,2.28,http://pbs.twimg.com/profile_images/975137385964015622/vnf6xyP-_normal.jpg,https://pbs.twimg.com/profile_images/975137385964015622/vnf6xyP-_normal.jpg
335,MJenyh,904347191191502850,13082,12659,200,176,8457.34,173025999.03,13153.93,200,0.185,0.195,0.11,0.105,0.17,0.055,0.18,28.57,96.24,9.81,237,2.17,http://pbs.twimg.com/profile_images/1007661957816770561/MzAY89hK_normal.jpg,https://pbs.twimg.com/profile_images/1007661957816770561/MzAY89hK_normal.jpg
336,freskpfvr,3420335085,52772,27991,200,166,1191.53,2564980.06,1601.56,200,0.305,0.035,0.095,0.09,0.175,0.15,0.15,28.57,252.24,15.88,8,1.00,http://pbs.twimg.com/profile_images/1007076868745519104/gH2VMo84_normal.jpg,https://pbs.twimg.com/profile_images/1007076868745519104/gH2VMo84_normal.jpg
337,winke_iven,774356333911011328,8538,6379,200,179,9666.38,186494373.05,13656.29,200,0.085,0.175,0.07,0.275,0.17,0.135,0.09,28.57,175.67,13.25,5,1.00,http://pbs.twimg.com/profile_images/1007394914999693312/1oLclnWC_normal.jpg,https://pbs.twimg.com/profile_images/1007394914999693312/1oLclnWC_normal.jpg
338,eliellima84,2788626139,1244,2413,200,171,1.55,1.29,1.14,200,0.005,0.41,0.0,0.005,0.565,0.01,0.005,28.57,1969.39,44.38,129,1.03,http://pbs.twimg.com/profile_images/563369506819416065/lY0KWVXg_normal.jpeg,https://pbs.twimg.com/profile_images/563369506819416065/lY0KWVXg_normal.jpeg
339,Thiagofreire77,863825682018832386,2605,2313,200,168,56.46,5192.91,72.06,200,0.0,0.0,0.0,0.0,0.02,0.595,0.385,28.57,2055.96,45.34,3,1.00,http://pbs.twimg.com/profile_images/1008126056602198016/84p2IjJV_normal.jpg,https://pbs.twimg.com/profile_images/1008126056602198016/84p2IjJV_normal.jpg
340,andersonpxoto,563737595,14759,14719,200,162,6134.65,61935091.80,7869.89,200,0.135,0.12,0.25,0.16,0.115,0.105,0.115,28.57,87.67,9.36,119,1.16,http://pbs.twimg.com/profile_images/981333924495413248/6hQbcuFo_normal.jpg,https://pbs.twimg.com/profile_images/981333924495413248/6hQbcuFo_normal.jpg
