,screen_name,id,followers,friends,number_tweets,number_tweets_intervals,mean_interval_tweets,variance_interval_tweets,standard_deviation_interval_tweets,number_tweets_week,monday_relative_frequence,tuesday_relative_frequence,wednesday_relative_frequence,thursday_relative_frequence,friday_relative_frequence,saturday_relative_frequence,sunday_relative_frequence,mean_day_week,variance_day_week,standard_deviation_day_week,number_hashtags,hashtag_per_tweet,profile_image_url,profile_image_url_https
306,Amanda_gct,281846826,13542,12005,200,172,861.10,2024474.72,1422.84,200,0.295,0.14,0.03,0.115,0.195,0.11,0.115,28.57,235.67,15.35,5,1.00,http://pbs.twimg.com/profile_images/1008703706660069376/bcjhVCRC_normal.jpg,https://pbs.twimg.com/profile_images/1008703706660069376/bcjhVCRC_normal.jpg
307,_lgaspar,717468941828882432,15822,481,200,164,100.37,16444.20,128.23,200,0.025,0.105,0.125,0.275,0.195,0.065,0.21,28.57,265.10,16.28,2,1.00,http://pbs.twimg.com/profile_images/1000724469483233280/Oxoh0D_2_normal.jpg,https://pbs.twimg.com/profile_images/1000724469483233280/Oxoh0D_2_normal.jpg
308,_rafaelviieira,873392485657083904,393,345,200,162,330.50,438077.72,661.87,200,0.315,0.34,0.075,0.06,0.085,0.1,0.025,28.57,565.96,23.79,1,1.00,http://pbs.twimg.com/profile_images/1005994925668872192/dn6NTNVI_normal.jpg,https://pbs.twimg.com/profile_images/1005994925668872192/dn6NTNVI_normal.jpg
309,baroli_sarah,926060623506665473,1554,2044,200,159,915.68,3019524.37,1737.68,200,0.14,0.105,0.145,0.115,0.07,0.16,0.265,28.57,129.96,11.40,7,1.75,http://pbs.twimg.com/profile_images/1008128599340339205/XP97fB1l_normal.jpg,https://pbs.twimg.com/profile_images/1008128599340339205/XP97fB1l_normal.jpg
310,nnat_carvalho,3719101095,2171,1027,200,161,3196.12,29885336.96,5466.75,200,0.24,0.14,0.105,0.135,0.2,0.075,0.105,28.57,115.67,10.76,0,0.00,http://pbs.twimg.com/profile_images/1001877955470086146/YCzlUgyQ_normal.jpg,https://pbs.twimg.com/profile_images/1001877955470086146/YCzlUgyQ_normal.jpg
311,mariaeduardacds,748748337566789633,990,724,200,172,349.98,233056.35,482.76,200,0.38,0.325,0.08,0.085,0.02,0.08,0.03,28.57,734.24,27.10,0,0.00,http://pbs.twimg.com/profile_images/1005669054961586176/X_i9Oy7Q_normal.jpg,https://pbs.twimg.com/profile_images/1005669054961586176/X_i9Oy7Q_normal.jpg
312,vicjunqueira_,757682843283841025,499,345,200,166,794.07,1676031.22,1294.62,200,0.35,0.12,0.125,0.175,0.085,0.045,0.1,28.57,340.24,18.45,5,1.67,http://pbs.twimg.com/profile_images/1008505970845212672/2gZlba97_normal.jpg,https://pbs.twimg.com/profile_images/1008505970845212672/2gZlba97_normal.jpg
313,Caetano_BD,3720154702,332,1145,200,164,1656.86,8281973.22,2877.84,200,0.15,0.205,0.08,0.05,0.085,0.095,0.335,28.57,337.39,18.37,2,1.00,http://pbs.twimg.com/profile_images/1007658733864828928/7hFyhKjS_normal.jpg,https://pbs.twimg.com/profile_images/1007658733864828928/7hFyhKjS_normal.jpg
314,AliciiaLemos,2887164615,921,630,200,171,2105.80,10301265.28,3209.56,200,0.175,0.17,0.07,0.105,0.145,0.155,0.18,28.57,57.39,7.58,0,0.00,http://pbs.twimg.com/profile_images/1004941065772773376/2SD2P8CO_normal.jpg,https://pbs.twimg.com/profile_images/1004941065772773376/2SD2P8CO_normal.jpg
315,var77777,2624113299,795,357,200,169,1104.61,3880001.76,1969.77,200,0.11,0.465,0.135,0.105,0.06,0.05,0.075,28.57,722.53,26.88,2,1.00,http://pbs.twimg.com/profile_images/1005994230043594752/WHmtmNY4_normal.jpg,https://pbs.twimg.com/profile_images/1005994230043594752/WHmtmNY4_normal.jpg
