,screen_name,id,followers,friends,number_tweets,number_tweets_intervals,mean_interval_tweets,variance_interval_tweets,standard_deviation_interval_tweets,number_tweets_week,monday_relative_frequence,tuesday_relative_frequence,wednesday_relative_frequence,thursday_relative_frequence,friday_relative_frequence,saturday_relative_frequence,sunday_relative_frequence,mean_day_week,variance_day_week,standard_deviation_day_week,number_hashtags,hashtag_per_tweet,profile_image_url,profile_image_url_https
301,segueteurumooo,900429223541846017,647,644,200,168,653.27,1005275.68,1002.63,200,0.155,0.06,0.12,0.24,0.275,0.08,0.07,28.57,249.67,15.80,0,0.00,http://pbs.twimg.com/profile_images/993379139976560640/zARP7X6L_normal.jpg,https://pbs.twimg.com/profile_images/993379139976560640/zARP7X6L_normal.jpg
302,julia_kolling,4049395523,647,505,200,193,42369.02,2525989043.25,50259.22,200,0.15,0.15,0.065,0.185,0.17,0.17,0.11,28.57,59.96,7.74,1,1.00,http://pbs.twimg.com/profile_images/987707970837536768/-SDlxnaB_normal.jpg,https://pbs.twimg.com/profile_images/987707970837536768/-SDlxnaB_normal.jpg
303,Biaa_Lima0,3183477599,577,1045,200,171,20445.92,1253401765.26,35403.41,200,0.18,0.16,0.14,0.145,0.12,0.16,0.095,28.57,27.39,5.23,0,0.00,http://pbs.twimg.com/profile_images/999071784778399744/GFKghVCd_normal.jpg,https://pbs.twimg.com/profile_images/999071784778399744/GFKghVCd_normal.jpg
304,amanda_bubans,776809566210326528,611,294,200,188,71632.72,7388983002.97,85959.19,200,0.145,0.115,0.16,0.145,0.205,0.115,0.115,28.57,37.10,6.09,4,1.00,http://pbs.twimg.com/profile_images/998217422598430721/yFMO2GOt_normal.jpg,https://pbs.twimg.com/profile_images/998217422598430721/yFMO2GOt_normal.jpg
305,MarcelloLimaCRF,835477834692964352,4044,4061,200,166,185.30,51266.05,226.42,200,0.0,0.19,0.13,0.515,0.165,0.0,0.0,28.57,1157.67,34.02,9,1.12,http://pbs.twimg.com/profile_images/990033438236446720/AYkaJ7rz_normal.jpg,https://pbs.twimg.com/profile_images/990033438236446720/AYkaJ7rz_normal.jpg
306,flanatica81,771913244629987328,1531,1113,200,167,129.92,25419.47,159.43,200,0.0,0.0,0.0,0.535,0.465,0.0,0.0,28.57,2054.82,45.33,19,1.73,http://pbs.twimg.com/profile_images/999133978274684929/JVFTrblq_normal.jpg,https://pbs.twimg.com/profile_images/999133978274684929/JVFTrblq_normal.jpg
307,Rita31836281,968689257719173120,923,4370,200,166,7128.35,214892854.97,14659.22,200,0.1,0.045,0.035,0.085,0.395,0.17,0.17,28.57,522.53,22.86,44,1.29,http://pbs.twimg.com/profile_images/1005651278846943233/rBMS1Bqb_normal.jpg,https://pbs.twimg.com/profile_images/1005651278846943233/rBMS1Bqb_normal.jpg
308,RivotrilN,994214700232650752,552,1536,200,169,605.88,600693.87,775.04,200,0.125,0.065,0.03,0.22,0.2,0.23,0.13,28.57,206.24,14.36,68,1.58,http://pbs.twimg.com/profile_images/994219085130010625/jinP-L-m_normal.jpg,https://pbs.twimg.com/profile_images/994219085130010625/jinP-L-m_normal.jpg
309,_VitinhoMiranda,701610043737829378,128,130,200,182,36877.97,2466793581.83,49666.83,200,0.09,0.165,0.19,0.24,0.16,0.1,0.055,28.57,141.67,11.90,3,1.00,http://pbs.twimg.com/profile_images/907356062252191744/kCiwz6Ev_normal.jpg,https://pbs.twimg.com/profile_images/907356062252191744/kCiwz6Ev_normal.jpg
310,FernandoTojal,567900768,2924,2235,200,158,2548.56,26788580.03,5175.77,200,0.085,0.2,0.16,0.265,0.125,0.095,0.07,28.57,169.96,13.04,70,1.84,http://pbs.twimg.com/profile_images/561688548563505152/HkZoMeKM_normal.jpeg,https://pbs.twimg.com/profile_images/561688548563505152/HkZoMeKM_normal.jpeg
311,PeresPaulinha,817546813,9683,7675,200,175,77.32,6007.83,77.51,200,0.0,0.0,0.0,0.0,1.0,0.0,0.0,28.57,4897.96,69.99,3,1.50,http://pbs.twimg.com/profile_images/1007723703193554949/fd6vPLAX_normal.jpg,https://pbs.twimg.com/profile_images/1007723703193554949/fd6vPLAX_normal.jpg
